matricula;EMPRESA;TITULO DO CARGO;DESC. SITUACAO_principal;sindicato;DIAS DE FÉRIAS;DATA DEMISSÃO;COMUNICADO DE DESLIGAMENTO;Admissão;cargo_admissao;elegivel_beneficio;DESC. SITUACAO_afastamento;estado_sindicato;valor_sindicato;dias_uteis;deve_receber_beneficio;DIAS A RECEBER
25203;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25251;1410.0;ANALISTA DE FINANCAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25290;1410.0;EXECUTIVO DE CONTAS III;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
25294;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25310;1410.0;ESPECIALISTA DE DADOS I;Férias;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;5.0;;;;;Sim;;Rio de Janeiro;R$ 35.00;21.0;True;16.0
25314;1410.0;ANALISTA DE ADMINISTRACAO DE PESSOAS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25330;1410.0;DESENVOLVEDOR III;Férias;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;30.0;;;;;Sim;;;;22.0;True;0.0
25342;1410.0;DESENVOLVEDOR II;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
25349;1410.0;ASSISTENTE DE BPO III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25379;1410.0;TECH LEAD I;Trabalhando;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;;;;Sim;;Rio de Janeiro;R$ 35.00;21.0;True;21.0
25528;1410.0;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25565;1410.0;ANALISTA DE SUPORTE II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25579;1410.0;COORDENADOR DE BPO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25583;1410.0;ANALISTA DE SISTEMAS E NEGOCIOS III;Trabalhando;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;;;;Sim;;Rio de Janeiro;R$ 35.00;21.0;True;21.0
25609;1410.0;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
25614;1410.0;PRODUCT OWNER II;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
25619;1410.0;COORDENADOR DE COMUNICACAO E MARKETING;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25724;1410.0;GERENTE DE OPERACOES II;Trabalhando;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;;;;Sim;;;;22.0;True;22.0
25770;1410.0;ANALISTA ADMINISTRATIVO II;Trabalhando;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;;;;Sim;;;;22.0;True;22.0
25846;1410.0;COORDENADOR DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25872;1410.0;ASSISTENTE DE BPO III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25931;1410.0;GERENTE DE CUSTOMER SUCCESS;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25934;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25975;1410.0;COORDENADOR DE BPO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25978;1410.0;ANALISTA DE SISTEMAS E NEGOCIOS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
26042;1410.0;ARQUITETO DE SOFTWARE III;Férias;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;30.0;;;;;Sim;;;;22.0;True;0.0
26051;1410.0;GERENTE DE SERVICOS SENIOR;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
26055;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
26084;1410.0;ARQUITETO DE SOFTWARE III;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
26095;1410.0;DESENVOLVEDOR III;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
26129;1410.0;ASSISTENTE DE BPO III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
26147;1410.0;DESENVOLVEDOR II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
26161;1410.0;ARQUITETO DE SOFTWARE I;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
26174;1410.0;CONSULTOR TECNICO SAP III;Férias;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;30.0;;;;;Sim;;;;22.0;True;0.0
26182;1410.0;ANALISTA DE COMPRAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
